0.180111,536
0.360734,1072
0.541824,1608
0.722914,2144
0.903533,2680
0.904477,3216
1.084623,3752
1.085567,4288
1.086511,4824
1.265713,5360
1.266657,5896
1.267609,6432
1.268553,2680
1.630261,2787
1.631205,2890
1.810879,2989
1.811823,3085
1.991498,3178
1.992442,3268
2.172116,3355
2.173060,3440
2.174004,3523
2.353206,3604
2.354150,3683
2.355094,3761
2.534296,3837
2.535240,3911
2.536184,3984
2.714915,4056
2.715859,4126
2.716803,4195
2.895533,4263
2.896477,4330
2.897421,4396
3.076151,4461
3.077095,4525
3.078039,4588
3.078983,4650
3.257241,4711
3.258185,4771
3.259129,4831
3.260073,4890
3.438332,4948
3.439276,5006
3.440220,5063
3.441164,5119
3.618950,5175
3.619894,5230
3.620838,5284
3.621782,5338
3.799568,5391
3.800512,5444
3.801456,5496
3.802400,5548
3.980186,5599
3.981130,5650
3.982074,5700
3.983018,5750
3.983962,5799
4.161277,5848
4.162221,5897
4.163165,5945
4.164109,5993
4.165053,6040
4.342367,6087
4.343311,6134
4.344255,6180
4.345199,6226
4.346143,6272
4.522985,6317
4.523929,6362
4.524873,6407
4.525817,6451
4.526761,6495
4.703603,6539
4.704547,6582
4.705491,6625
4.706435,6668
4.707379,6711
4.708323,6753
4.884693,6795
4.885637,6837
4.886581,6879
4.887525,6920
4.888469,6961
4.889413,7002
5.065784,7043
5.066728,7083
5.067672,7123
5.068616,7163
5.069560,7203
5.070504,7242
5.246402,7281
5.247346,7320
5.248290,7359
5.249234,7398
5.250178,7436
5.251122,7474
5.427020,7512
5.427964,7550
5.428908,7588
5.429852,7625
5.430796,7662
5.431740,7699
5.607638,7736
5.608582,7773
5.609526,7809
5.610470,7845
5.611414,7881
5.612358,7917
5.613302,7953
5.788729,7989
5.789673,8024
5.790617,8059
5.792040,8094
5.793039,3484
6.154716,3566
6.332974,3646
6.333926,3724
6.335334,3801
6.513592,3876
6.515016,3950
6.516424,4022
6.694211,4093
6.695634,4163
6.697043,4232
6.874829,4299
6.876252,4365
6.877661,4430
7.055447,4494
7.056391,4557
7.057343,4620
7.058751,4682
7.236537,4743
7.237481,4803
7.238433,4862
7.239841,4921
7.417628,4979
7.418572,5036
7.419523,5093
7.420467,5149
7.598246,5204
7.599190,5259
7.600141,5313
7.601085,5367
7.778864,5420
7.779808,5473
7.780760,5525
7.781704,5576
7.782648,5627
7.959954,5678
7.960898,5728
7.961850,5778
7.962794,5827
7.963738,5876
8.141044,5924
8.141988,5972
8.142940,6020
8.143884,6067
8.144828,6114
8.322135,6160
8.323079,6206
8.324023,6252
8.324967,6297
8.325911,6342
8.502753,6387
8.503697,6431
8.504641,6475
8.505585,6519
8.506529,6563
8.683371,6606
8.684315,6649
8.685259,6692
8.686203,6734
8.687147,6776
8.688091,6818
8.864461,6860
8.865405,6901
8.866349,6942
8.867293,6983
8.868237,7024
8.869181,7064
9.045552,7104
9.046496,7144
9.047440,7184
9.048384,7223
9.049328,7262
9.050272,7301
9.226170,7340
9.227114,7379
9.228058,7417
9.229002,7455
9.229946,7493
9.230890,7531
9.406788,7569
9.407732,7606
9.408676,7643
9.409620,7680
9.410564,7717
9.411508,7754
9.412452,7791
9.587878,7827
9.588822,7863
9.589766,7899
9.590710,7935
9.591654,7971
9.592598,8007
9.593542,8042
9.768969,8077
9.769913,8112
9.770857,8147
9.771801,8182
9.772745,8217
9.773689,8251
9.774633,8285
9.949587,8319
9.950531,8353
9.951475,8387
9.952419,8421
9.953363,8455
9.954307,8488
9.955251,8521
10.130205,8554
10.131149,8587
10.132093,8620
10.133037,8653
10.133981,8686
10.134925,8719
10.135869,8751
10.310823,8783
10.311767,8815
10.312711,8847
10.313655,8879
10.314599,8911
10.315543,8943
10.316487,8975
10.317431,9007
10.491914,9038
10.492858,9069
10.493802,9100
10.494746,9131
10.495690,9162
10.496634,9193
10.497578,9224
10.498522,9255
10.673004,9286
10.673948,9316
10.674892,9346
10.675836,9376
10.676780,9406
10.677724,9436
10.678668,9466
10.679612,9496
10.853622,9526
10.854566,9556
10.855510,9586
10.856454,9615
10.857398,9644
10.858342,9673
10.859286,9702
10.860230,9731
11.034240,9760
11.035184,9789
11.036128,9818
11.037072,9847
11.038016,9876
11.038960,9905
11.039904,9934
11.040848,9962
11.041792,9990
11.215330,10018
11.216274,10046
11.217218,10074
11.218162,10102
11.219106,10130
11.220050,10158
11.220994,10186
11.221938,10214
11.222882,10242
11.396421,10270
11.397365,10297
11.398309,10324
11.399253,10351
11.400197,10378
11.401141,10405
11.402085,10432
11.403029,10459
11.403973,10486
11.577039,10513
11.577983,10540
11.578927,10567
11.579871,10594
11.580815,10621
11.581759,10648
11.582703,10674
11.583647,10700
11.584591,10726
11.757657,10752
11.758601,10778
11.759545,10804
11.760489,10830
11.761433,10856
11.762377,10882
11.763321,10908
11.764265,10934
11.765209,10960
11.766153,10986
11.938747,11012
11.939691,11038
11.940635,11064
11.941579,11089
11.942523,11114
11.943467,11139
11.944411,11164
11.945355,11189
11.946299,11214
11.947243,11239
12.119838,11264
12.120782,11289
12.121726,11314
12.122670,11339
12.123614,11364
12.124558,11389
12.125502,11414
12.126446,11439
12.127390,11464
12.128334,11489
12.300928,11514
12.301872,11538
12.302816,11562
12.303760,11586
12.304704,11610
12.305648,11634
12.306592,11658
12.307536,11682
12.308480,11706
12.309424,11730
12.481546,11754
12.482490,11778
12.483434,11802
12.484378,11826
12.485322,11850
12.486266,11874
12.487210,11898
12.488154,11922
12.489098,11946
12.490042,11970
12.662164,11994
12.663108,12017
12.664052,12040
