0.361233,11.5922
0.602315,13.9047
0.602787,20.8407
0.843869,19.849
0.844341,24.7974
0.844813,29.7403
1.08542,27.0056
1.0859,30.8501
1.08637,34.6913
1.2859,32.5649
1.28637,35.8082
1.32698,37.868
1.32745,41.0091
1.32792,44.148
1.52698,41.1352
1.52745,43.864
1.52792,46.5911
1.56806,48.069
1.56853,50.7242
1.569,53.3779
1.56947,56.0299
1.56995,58.6803
1.57042,61.3292
1.76853,56.8268
1.769,59.1788
1.76947,61.5296
1.80914,62.4951
1.80961,64.7929
1.81008,67.0894
1.81056,69.3847
1.81103,71.6789
1.8115,73.9718
1.81197,76.2636
1.81244,78.5541
1.81292,80.8435
2.00961,75.0145
2.01008,77.0801
2.01056,79.1447
2.01103,81.2084
2.0115,83.2712
2.01197,85.3329
2.05069,85.7636
2.05117,87.7854
2.05164,89.8063
2.05211,91.8262
2.05258,93.8452
2.05305,95.8633
2.05353,97.8804
2.054,99.8966
2.05447,101.912
2.05494,103.926
2.05541,105.94
2.05589,107.952
2.25069,100.469
2.25117,102.308
2.25164,104.146
2.25211,105.984
2.25258,107.821
2.25305,109.657
2.25353,111.492
2.254,113.326
2.25447,115.16
2.29178,115.113
2.29225,116.916
2.29272,118.718
2.29319,120.52
2.29366,122.321
2.29414,124.121
2.29461,125.92
2.29508,127.719
2.29555,129.517
2.29602,131.314
2.2965,133.11
2.29697,134.906
2.29744,136.701
2.29791,138.495
2.29838,140.289
2.29886,142.082
2.29933,143.874
2.2998,145.665
2.49178,136.123
2.49225,137.777
2.49272,139.431
2.49319,141.084
2.49366,142.737
2.49414,144.389
2.49461,146.04
2.49508,147.691
2.49555,149.341
2.49602,150.99
2.4965,152.639
2.49697,154.287
2.49744,155.935
2.49791,157.582
2.49838,159.228
2.53333,158.684
2.5338,160.307
2.53427,161.93
2.53475,163.552
2.53522,165.173
2.53569,166.794
2.53616,168.414
2.53663,170.033
2.53711,171.652
2.53758,173.271
2.53805,174.888
2.53852,176.505
2.53899,178.122
2.53947,179.738
2.53994,181.353
2.54041,182.967
2.54088,184.582
2.54135,186.195
2.54183,187.808
2.5423,189.42
2.54277,191.032
2.54324,192.643
2.54371,194.253
2.54419,195.863
2.54466,197.472
2.54513,199.081
2.5456,200.689
2.73333,188.438
2.7338,189.937
2.73427,191.436
2.73475,192.934
2.73522,194.431
2.73569,195.929
2.73616,197.425
